Name,Country,Genre,Status
Balor's Eye,United States,Technical/Progressive Metal,Active
Balothron,Finland,Black Metal,Changed name
Balrog,Belarus,Black Metal,Active
Balrog,France,Black Metal,Unknown
Balrog,Sweden,Heavy Metal,Active
Balrog,Italy,Power/Thrash Metal,Active
Balrog,Argentina,Speed/Thrash Metal,Active
Balseraph,United States,Melodic Black Metal,Split-up
Balshazaars Feast,United States,Thrash Metal,Changed name
Balt Hüttar,Italy,Folk Metal,Active
Baltak,Australia,Black Metal,Active
Balthasar,United Kingdom,Progressive Metal/Rock,Active
Balthazar,New Zealand,Black Metal,On hold
Balthazor,Indonesia,Black Metal,Active
Balthorum,Brazil,Black Metal,Active
Baltico,Argentina,Power/Heavy Metal,Active
Baltimor,Finland,Heavy/Speed Metal,Active
Balvaz,Norway,Death Metal,Split-up
Balyios,South Africa,Melodic Folk Metal,On hold
Balzabouth,Brazil,Black Metal,Unknown
Banana Mayor,Italy,Progressive Stoner Metal,Active
Banaspati,Indonesia,Blackened Death Metal,Split-up
Banazvaty,Indonesia,Black Metal,Active
Banco de Semen,Ecuador,Goregrind,Changed name
Band of Destruction,United States,Speed/Thrash Metal,Split-up
Band of Wolves,Austria,Black Metal/Punk,Active
Banda de la Muerte,Argentina,Stoner/Heavy Metal,Active
Bandana Revenge,Brazil,Thrash Metal/Punk/Crossover,Split-up
Bandanos,Brazil,Thrash Metal/Crossover,Active
Bandemonic,Greece,Heavy Metal,Active
Bandera de Odio,Guatemala,Black Metal,Active
Bandersnatch,France,Progressive/Stoner Metal,Active
Bandiet,Netherlands,Black Metal,Active
Bandoso,Indonesia,Atmospheric Black Metal,Active
Bane,Philippines,Thrash Metal,Active
Bane,United States,Brutal Death Metal,Active
Bane,Serbia,Melodic Black/Death Metal,Active
Bane and Illusion,Canada,Black Metal/Ambient,Split-up
Bane of Bedlam,Australia,Thrash Metal,Active
Bane of Existence,United States,Brutal Death Metal,Split-up
Bane of Isildur,Australia,Melodic Black Metal,Active
Bane of Winterstorm,Australia,Symphonic Power Metal,Active
Banefull,Brazil,Thrash Metal,Split-up
Baneworth,Austria,Death Metal/Hardcore,Unknown
Banewreaker,United States,Black Metal/Hardcore,Active
Bang,Colombia,Heavy/Speed Metal,Active
Bang,United States,"Psychedelic Hard Rock/Heavy Metal, Glam/Pop Rock (mid)",Active
Bang Bangalow,Italy,Southern Metal,Active
The Bang Gang,United States,Thrash Metal,Split-up
Bang-Doll,Japan,Thrash/Power Metal,Active
Bang-Utot,United Kingdom,Groove/Doom Metal,Active
Bangin' Moon,United States,Heavy/Power Metal,Changed name
Bangkai,Indonesia,Death/Thrash Metal,Split-up
Bangover,United Kingdom,Thrash Metal,Active
Bangsat,Indonesia,Grindcore,Active
Banish the Demons,United States,Groove Metal,Split-up
Banished,United States,Death Metal,Changed name
Banished,Spain,Thrash Metal,Active
Banished,Sweden,Blackened Heavy Metal,Split-up
Banished Force,Germany,Thrash Metal,Split-up
Banished from Inferno,Spain,Death Metal,Active
Banished Reality,Germany,Thrash/Death Metal,Split-up
Banished Spirits,France,Black Metal,Split-up
Banisher,Poland,Technical/Experimental Death Metal,Active
Banishet,Indonesia,Thrash Metal,Active
Banishing,United States,Atmospheric Black Metal,Active
Banishment,United States,Brutal Death Metal,Active
Bankeray,Indonesia,Thrash Metal,Active
Bann,Germany,Neoclassical/Ambient Black Metal,On hold
Bannbodo,Malaysia,Crossover/Thrash/Groove Metal,Active
Banned from Hell,Italy,Melodic Death/Thrash Metal,Active
Banner of Wrath,Germany,Dark/Black Metal,Split-up
Bannerwar,Greece,Black Metal,Unknown
Banni Conflict,Brazil,Grindcore,Active
Banshee,Italy,Doom/Black Metal,Split-up
Banshee,United States,Power Metal,Active
Banshee,United States,Black Metal,Split-up
Banshee,Malaysia,Black/Death/Thrash Metal,Split-up
Banshee,Finland,Doom/Stoner/Heavy Metal,Split-up
Banshee,Mexico,Melodic Black Metal,Split-up
Banshee,Canada,Heavy Metal,Changed name
Banshee,France,Gothic/Black/Heavy Metal,Split-up
Bantha Rider,Poland,Stoner/Sludge Metal,Active
Banzai,Spain,"Hard Rock, Heavy Metal",Active
Bao Tap,Vietnam,Thrash Metal,Split-up
Baobab Wizard,Indonesia,Black Metal/Crust Punk,Active
Baobhan,Mexico,Melodic Death Metal,Unknown
